# vim: ts=42 ft=curlrc
	--proxy-ciphers	list	# string
	--proxy-crlfile	file	# string
	--proxy-digest		# no_parameter
	--proxy-header	header/@file	# headers
	--proxy-http2		# no_parameter
	--proxy-insecure		# no_parameter
	--proxy-key-type	type	# string
	--proxy-key	key	# string
	--proxy-negotiate		# no_parameter
	--proxy-ntlm		# no_parameter
	--proxy-pass	phrase	# string
	--proxy-pinnedpubkey	hashes	# string
	--proxy-service-name	name	# string
	--proxy-ssl-allow-beast		# no_parameter
	--proxy-ssl-auto-client-cert		# no_parameter
	--proxy-tls13-ciphers	list	# string
	--proxy-tlsauthtype	type	# string
	--proxy-tlspassword	string	# string
	--proxy-tlsuser	name	# string
	--proxy-tlsv1		# no_parameter
-U 	--proxy-user	user:password	# kv_colon
-x 	--proxy	[protocol://]host[:port]	# kv_colon
	--proxy1.0	host[:port]	# kv_colon
-p 	--proxytunnel		# no_parameter
	--pubkey	key	# string
-Q 	--quote	command	# string
	--random-file	file	# string
-r 	--range	range	# range
	--rate	max-request-rate	# numeric
	--raw		# no_parameter
-e 	--referer	url	# urls
-J 	--remote-header-name		# no_parameter
	--remote-name-all		# no_parameter
-O 	--remote-name		# no_parameter
-R 	--remote-time		# no_parameter
	--remove-on-error		# no_parameter
	--request-target	path	# string
-X 	--request	method	# string
	--resolve	[+]host:port:addr[,addr]...	# kv_colon
	--retry-all-errors		# no_parameter
	--retry-connrefused		# no_parameter
	--retry-delay	seconds	# numeric
	--retry-max-time	seconds	# numeric
	--retry	num	# numeric
	--sasl-authzid	identity	# string
	--sasl-ir		# no_parameter
	--service-name	name	# string
-S 	--show-error		# no_parameter
-i 	--show-headers		# no_parameter
-s 	--silent		# no_parameter
	--skip-existing		# no_parameter
	--socks4	host[:port]	# kv_colon
	--socks4a	host[:port]	# kv_colon
	--socks5-basic		# no_parameter
	--socks5-gssapi-nec		# no_parameter
	--socks5-gssapi-service	name	# string
	--socks5-gssapi		# no_parameter
	--socks5-hostname	host[:port]	# kv_colon
	--socks5	host[:port]	# kv_colon
-Y 	--speed-limit	speed	# numeric
-y 	--speed-time	seconds	# numeric
	--ssl-allow-beast		# no_parameter
	--ssl-auto-client-cert		# no_parameter
	--ssl-no-revoke		# no_parameter
	--ssl-reqd		# no_parameter
	--ssl-revoke-best-effort		# no_parameter
	--ssl-sessions	filename	# string
	--ssl		# no_parameter
-2 	--sslv2		# no_parameter
-3 	--sslv3		# no_parameter
	--stderr	file	# string
	--styled-output		# no_parameter
	--suppress-connect-headers		# no_parameter
	--tcp-fastopen		# no_parameter
	--tcp-nodelay		# no_parameter
-t 	--telnet-option	opt=val	# form_data
	--tftp-blksize	value	# numeric
	--tftp-no-options		# no_parameter
-z 	--time-cond	time	# numeric
	--tls-earlydata		# no_parameter
	--tls-max	version	# string
	--tls13-ciphers	list	# string
	--tlsauthtype	type	# string
	--tlspassword	string	# string
	--tlsuser	name	# string
	--tlsv1.0		# no_parameter
	--tlsv1.1		# no_parameter
	--tlsv1.2		# no_parameter
	--tlsv1.3		# no_parameter
-1 	--tlsv1		# no_parameter
	--tr-encoding		# no_parameter
	--trace-ascii	file	# string
	--trace-config	string	# string
	--trace-ids		# no_parameter
	--trace-time		# no_parameter
	--trace	file	# string
	--unix-socket	path	# string
-T 	--upload-file	file	# string
	--upload-flags	flags	# string
	--url-query	data	# string
	--url	url/file	# string
-B 	--use-ascii		# no_parameter
-A 	--user-agent	name	# string
-u 	--user	user:password	# kv_colon
	--variable	[%]name=text/@file	# form_data
-v 	--verbose		# no_parameter
-V 	--version		# no_parameter
	--vlan-priority	priority	# string
-w 	--write-out	format	# string
	--xattr		# no_parameter
